  -2.8732e+02  -2.7521e+02  -2.7503e+02  -2.7507e+02
  -2.1284e+02  -2.2516e+02  -2.2530e+02  -2.2529e+02
  -1.8842e+02  -1.7527e+02  -1.7579e+02  -1.7560e+02
  -1.1025e+02  -1.2573e+02  -1.2539e+02  -1.2516e+02
  -9.2851e+01  -7.3905e+01  -7.0014e+01  -7.1400e+01
  -3.6943e+00  -1.7947e+01  -1.4002e+01  -1.8713e+01
   6.2568e-02   2.0891e+00  -4.4508e+00   2.6100e-01
   2.5293e-01   2.1496e+00   5.0456e-01   1.8860e+00
  -4.0701e-02   1.0987e-01   5.0635e-01   2.5833e-01
  -4.8151e-02  -1.6834e-01   6.7875e-02  -1.0925e-01
   4.8151e-02   1.6834e-01  -6.7874e-02   1.0925e-01
   4.0701e-02  -1.0987e-01  -5.0635e-01  -2.5833e-01
  -2.5293e-01  -2.1496e+00  -5.0456e-01  -1.8860e+00
  -6.2568e-02  -2.0891e+00   4.4508e+00  -2.6100e-01
   3.6943e+00   1.7947e+01   1.4002e+01   1.8713e+01
   9.2851e+01   7.3906e+01   7.0014e+01   7.1400e+01
   1.1025e+02   1.2573e+02   1.2539e+02   1.2516e+02
   1.8842e+02   1.7527e+02   1.7579e+02   1.7560e+02
   2.1284e+02   2.2516e+02   2.2530e+02   2.2529e+02
   2.8732e+02   2.7521e+02   2.7503e+02   2.7507e+02
