   6.2108e-04   4.7776e-04   4.5453e-04   4.5206e-04   4.5182e-04   4.5179e-04
   1.0070e-01   3.6756e-02   2.6397e-02   2.5296e-02   2.5186e-02   2.5175e-02
  -1.1455e+00  -9.2079e-01  -8.8450e-01  -8.8064e-01  -8.8025e-01  -8.8022e-01
  -2.0568e+00  -1.2533e+00  -1.1235e+00  -1.1097e+00  -1.1083e+00  -1.1081e+00
   7.5421e+00   6.7744e+00   6.6504e+00   6.6372e+00   6.6359e+00   6.6358e+00
   3.3260e+01   2.4203e+01   2.2740e+01   2.2585e+01   2.2569e+01   2.2567e+01
  -1.1869e+01  -2.0924e+01  -2.2387e+01  -2.2542e+01  -2.2558e+01  -2.2559e+01
  -5.7510e+00  -6.5214e+00  -6.6459e+00  -6.6591e+00  -6.6605e+00  -6.6606e+00
   1.0992e-01   8.8060e-01   1.0051e+00   1.0183e+00   1.0197e+00   1.0198e+00
   7.3262e-01   9.2526e-01   9.5638e-01   9.5968e-01   9.6002e-01   9.6005e-01
   7.3262e-01   9.2526e-01   9.5638e-01   9.5968e-01   9.6002e-01   9.6005e-01
   1.0992e-01   8.8060e-01   1.0051e+00   1.0183e+00   1.0197e+00   1.0198e+00
  -5.7510e+00  -6.5214e+00  -6.6459e+00  -6.6591e+00  -6.6605e+00  -6.6606e+00
  -1.1869e+01  -2.0924e+01  -2.2387e+01  -2.2542e+01  -2.2558e+01  -2.2559e+01
   3.3260e+01   2.4203e+01   2.2740e+01   2.2585e+01   2.2569e+01   2.2567e+01
   7.5421e+00   6.7744e+00   6.6504e+00   6.6372e+00   6.6359e+00   6.6358e+00
  -2.0568e+00  -1.2533e+00  -1.1235e+00  -1.1097e+00  -1.1083e+00  -1.1081e+00
  -1.1455e+00  -9.2079e-01  -8.8450e-01  -8.8064e-01  -8.8025e-01  -8.8022e-01
   1.0070e-01   3.6756e-02   2.6397e-02   2.5296e-02   2.5186e-02   2.5175e-02
   6.2108e-04   4.7776e-04   4.5453e-04   4.5206e-04   4.5182e-04   4.5179e-04

