   2.5000e-03   2.4180e-01   2.3063e-01   1.8550e-01   1.5268e-01
   7.5000e-03   7.9563e-02   6.6970e-02   1.6525e-02  -1.9613e-02
   1.2500e-02  -1.6102e+00  -1.5227e+00  -1.1808e+00  -9.4741e-01
   1.7500e-02  -3.5295e+00  -3.2292e+00  -2.0547e+00  -1.2524e+00
   2.2500e-02   8.9600e+00   8.6721e+00   7.5462e+00   6.7774e+00
   2.7500e-02   4.9915e+01   4.6523e+01   3.3261e+01   2.4204e+01
   3.2500e-02   4.7812e+00   1.3903e+00  -1.1869e+01  -2.0924e+01
   3.7500e-02  -4.3345e+00  -4.6230e+00  -5.7511e+00  -6.5215e+00
   4.2500e-02  -1.3072e+00  -1.0186e+00   1.0992e-01   8.8060e-01
   4.7500e-02   3.7842e-01   4.5056e-01   7.3263e-01   9.2527e-01
   5.2500e-02   3.7842e-01   4.5056e-01   7.3263e-01   9.2527e-01
   5.7500e-02  -1.3072e+00  -1.0186e+00   1.0992e-01   8.8060e-01
   6.2500e-02  -4.3345e+00  -4.6230e+00  -5.7511e+00  -6.5215e+00
   6.7500e-02   4.7812e+00   1.3903e+00  -1.1869e+01  -2.0924e+01
   7.2500e-02   4.9915e+01   4.6523e+01   3.3261e+01   2.4204e+01
   7.7500e-02   8.9600e+00   8.6721e+00   7.5462e+00   6.7774e+00
   8.2500e-02  -3.5295e+00  -3.2292e+00  -2.0547e+00  -1.2524e+00
   8.7500e-02  -1.6102e+00  -1.5227e+00  -1.1808e+00  -9.4741e-01
   9.2500e-02   7.9563e-02   6.6970e-02   1.6525e-02  -1.9613e-02
   9.7500e-02   2.4180e-01   2.3063e-01   1.8550e-01   1.5268e-01

