   2.5000e-03  -2.8554e+00   3.0206e-03  -4.4790e-03   5.8253e-02
   7.5000e-03   3.1042e+00   1.1239e-02   1.2987e-01   1.0197e-01
   1.2500e-02  -3.8116e+00  -1.7459e-01  -8.3045e-02  -4.0653e-01
   1.7500e-02   5.1175e+00   1.2700e+00  -1.8083e+00  -1.5233e+00
   2.2500e-02  -7.2260e+00  -6.4796e+00   1.0354e+00   3.3190e+00
   2.7500e-02   1.0336e+01   2.1589e+01   2.4996e+01   2.1085e+01
   3.2500e-02  -1.1430e+00  -3.8652e+00  -1.2608e+01  -1.8924e+01
   3.7500e-02  -9.7218e-01  -2.2191e+00  -3.3160e+00  -3.5519e+00
   4.2500e-02   1.1676e-02   1.1766e-01   7.5685e-01   1.2733e+00
   4.7500e-02   8.9288e-02   2.1074e-01   3.2373e-01   3.5317e-01
   5.2500e-02   8.9288e-02   2.1074e-01   3.2373e-01   3.5317e-01
   5.7500e-02   1.1676e-02   1.1766e-01   7.5685e-01   1.2733e+00
   6.2500e-02  -9.7218e-01  -2.2191e+00  -3.3160e+00  -3.5519e+00
   6.7500e-02  -1.1430e+00  -3.8652e+00  -1.2608e+01  -1.8924e+01
   7.2500e-02   1.0336e+01   2.1589e+01   2.4996e+01   2.1085e+01
   7.7500e-02  -7.2260e+00  -6.4796e+00   1.0354e+00   3.3190e+00
   8.2500e-02   5.1175e+00   1.2700e+00  -1.8083e+00  -1.5233e+00
   8.7500e-02  -3.8116e+00  -1.7459e-01  -8.3045e-02  -4.0653e-01
   9.2500e-02   3.1042e+00   1.1239e-02   1.2987e-01   1.0197e-01
   9.7500e-02  -2.8554e+00   3.0206e-03  -4.4790e-03   5.8253e-02

